inst#,actual,predicted,error,prediction
1,1:TRUE,1:TRUE,,1
2,1:TRUE,1:TRUE,,1
3,1:TRUE,1:TRUE,,1
4,1:TRUE,1:TRUE,,1
5,1:TRUE,1:TRUE,,1
6,1:TRUE,1:TRUE,,1
7,1:TRUE,1:TRUE,,1
8,1:TRUE,1:TRUE,,1
9,2:FALSE,2:FALSE,,1
10,1:TRUE,1:TRUE,,1
11,1:TRUE,1:TRUE,,1
12,1:TRUE,1:TRUE,,1
13,1:TRUE,1:TRUE,,1
14,2:FALSE,1:TRUE,+,1
15,1:TRUE,1:TRUE,,1
16,1:TRUE,1:TRUE,,1
17,2:FALSE,2:FALSE,,1
18,1:TRUE,1:TRUE,,1
19,1:TRUE,1:TRUE,,1
20,1:TRUE,1:TRUE,,1
21,1:TRUE,1:TRUE,,1
22,1:TRUE,1:TRUE,,1
23,1:TRUE,1:TRUE,,1
24,2:FALSE,2:FALSE,,1
25,1:TRUE,1:TRUE,,1
26,1:TRUE,1:TRUE,,1
27,1:TRUE,1:TRUE,,1
28,1:TRUE,1:TRUE,,1
29,1:TRUE,1:TRUE,,1
30,1:TRUE,1:TRUE,,1
31,1:TRUE,1:TRUE,,1
32,1:TRUE,1:TRUE,,1
33,1:TRUE,1:TRUE,,1
34,2:FALSE,1:TRUE,+,1
35,1:TRUE,1:TRUE,,1
36,1:TRUE,1:TRUE,,1
37,2:FALSE,2:FALSE,,1
38,1:TRUE,1:TRUE,,1
39,1:TRUE,1:TRUE,,1
40,1:TRUE,1:TRUE,,1
41,1:TRUE,1:TRUE,,1
42,1:TRUE,1:TRUE,,1
43,1:TRUE,1:TRUE,,1
44,1:TRUE,1:TRUE,,1
45,2:FALSE,1:TRUE,+,1
46,1:TRUE,1:TRUE,,1
47,2:FALSE,1:TRUE,+,1
48,1:TRUE,1:TRUE,,1
49,1:TRUE,1:TRUE,,1
50,1:TRUE,1:TRUE,,1
51,1:TRUE,1:TRUE,,1
52,1:TRUE,1:TRUE,,1
53,1:TRUE,1:TRUE,,1
54,2:FALSE,1:TRUE,+,1
55,1:TRUE,1:TRUE,,1
56,1:TRUE,2:FALSE,+,1
57,2:FALSE,1:TRUE,+,1
58,1:TRUE,1:TRUE,,1
59,2:FALSE,1:TRUE,+,1
60,1:TRUE,1:TRUE,,1
61,1:TRUE,1:TRUE,,1
